Var1,ROILabel,ROIName,R,A,S
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster043,43,7Networks_LH_SomMot_12,-60,-2,24
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster044,44,7Networks_LH_SomMot_13,-62,-10,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster045,45,7Networks_LH_SomMot_14,-54,-8,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster046,46,7Networks_LH_SomMot_15,-54,-20,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster047,47,7Networks_LH_SomMot_16,-52,-6,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster048,48,7Networks_LH_SomMot_17,-48,-16,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster049,49,7Networks_LH_SomMot_18,-8,-16,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster050,50,7Networks_LH_SomMot_19,-40,-14,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster051,51,7Networks_LH_SomMot_20,-48,-18,54
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster052,52,7Networks_LH_SomMot_21,-48,-30,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster053,53,7Networks_LH_SomMot_22,-38,-24,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster054,54,7Networks_LH_SomMot_23,-8,-38,54
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster055,55,7Networks_LH_SomMot_24,-4,-24,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster056,56,7Networks_LH_SomMot_25,-4,-8,60
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster057,57,7Networks_LH_SomMot_26,-36,-20,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster058,58,7Networks_LH_SomMot_27,-30,-46,62
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster059,59,7Networks_LH_SomMot_28,-32,-30,62
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster060,60,7Networks_LH_SomMot_29,-30,-38,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster061,61,7Networks_LH_SomMot_30,-24,-10,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster062,62,7Networks_LH_SomMot_31,-20,-24,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster063,63,7Networks_LH_SomMot_32,-8,-42,70
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster064,64,7Networks_LH_SomMot_33,-4,-26,68
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster065,65,7Networks_LH_SomMot_34,-14,-12,72
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster066,66,7Networks_LH_SomMot_35,-18,-32,68
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster067,67,7Networks_LH_SomMot_36,-18,-40,72
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster068,68,7Networks_LH_SomMot_37,-12,-26,74
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster069,69,7Networks_LH_DorsAttn_Post_1,-44,-42,-22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster070,70,7Networks_LH_DorsAttn_Post_2,-48,-56,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster071,71,7Networks_LH_DorsAttn_Post_3,-56,-62,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster072,72,7Networks_LH_DorsAttn_Post_4,-48,-66,16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster073,73,7Networks_LH_DorsAttn_Post_5,-26,-70,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster074,74,7Networks_LH_DorsAttn_Post_6,-54,-32,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster075,75,7Networks_LH_DorsAttn_Post_7,-22,-66,46
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster076,76,7Networks_LH_DorsAttn_Post_8,-46,-30,44
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster077,77,7Networks_LH_DorsAttn_Post_9,-34,-46,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster078,78,7Networks_LH_DorsAttn_Post_10,-28,-58,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster079,79,7Networks_LH_DorsAttn_Post_11,-38,-38,50
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster080,80,7Networks_LH_DorsAttn_Post_12,-36,-52,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster081,81,7Networks_LH_DorsAttn_Post_13,-14,-70,58
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster082,82,7Networks_LH_DorsAttn_Post_14,-28,-62,62
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster083,83,7Networks_LH_DorsAttn_Post_15,-8,-58,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster084,84,7Networks_LH_DorsAttn_Post_16,-20,-56,66
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster085,85,7Networks_LH_DorsAttn_Post_17,-14,-50,72
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster086,86,7Networks_LH_DorsAttn_FEF_1,-40,-2,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster087,87,7Networks_LH_DorsAttn_FEF_2,-26,0,56
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster088,88,7Networks_LH_DorsAttn_FEF_3,-30,-8,52
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster089,89,7Networks_LH_DorsAttn_FEF_4,-22,6,64
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster090,90,7Networks_LH_DorsAttn_PrCv_1,-50,6,26
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster091,91,7Networks_LH_DorsAttn_PrCv_2,-50,2,38
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster092,92,7Networks_LH_SalVentAttn_ParOper_1,-54,-32,22
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster093,93,7Networks_LH_SalVentAttn_ParOper_2,-58,-44,28
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster094,94,7Networks_LH_SalVentAttn_ParOper_3,-62,-24,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster095,95,7Networks_LH_SalVentAttn_ParOper_4,-62,-36,34
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster096,96,7Networks_LH_SalVentAttn_TempOcc_1,-58,-54,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster097,97,7Networks_LH_SalVentAttn_FrOperIns_1,-44,6,-16
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster098,98,7Networks_LH_SalVentAttn_FrOperIns_2,-38,2,-4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster099,99,7Networks_LH_SalVentAttn_FrOperIns_3,-32,24,0
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster100,100,7Networks_LH_SalVentAttn_FrOperIns_4,-40,-14,-2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster101,101,7Networks_LH_SalVentAttn_FrOperIns_5,-32,18,8
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster102,102,7Networks_LH_SalVentAttn_FrOperIns_6,-36,4,10
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster103,103,7Networks_LH_SalVentAttn_FrOperIns_7,-44,12,2
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster104,104,7Networks_LH_SalVentAttn_FrOperIns_8,-50,2,4
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster105,105,7Networks_LH_SalVentAttn_FrOperIns_9,-52,8,14
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster106,106,7Networks_LH_SalVentAttn_PFCl_1,-28,44,30
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster107,107,7Networks_LH_SalVentAttn_Med_1,-6,22,32
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster108,108,7Networks_LH_SalVentAttn_Med_2,-6,0,40
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster109,109,7Networks_LH_SalVentAttn_Med_3,-12,-28,42
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster110,110,7Networks_LH_SalVentAttn_Med_4,-6,10,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster111,111,7Networks_LH_SalVentAttn_Med_5,-12,-42,48
Schaefer2018_400Parcels_7Networks_order_FSLMNI152_2mm.cluster112,112,7Networks_LH_SalVentAttn_Med_6,-6,-48,56
